name,eventCount,seasons,bestResult,lastResult,wonLost,titles,wonPct
Australian Open,15,"2004-2005, 2007-2012, 2014-2020",W,QF,65-14,1,82.3%
Roland Garros,16,2005-2020,W,W,100-2,13,98.0%
US Open,15,"2003-2011, 2013, 2015-2019",W,W,64-11,4,85.3%
Wimbledon,14,"2003, 2005-2008, 2010-2015, 2017-2019",W,SF,53-12,2,81.5%
Tour Finals,9,"2006-2007, 2009-2011, 2013, 2015, 2017, 2019",F,RR,18-14,0,56.3%
Hamburg,4,"2003, 2007-2008, 2015",W,W,16-2,2,88.9%
Canada Masters,13,"2004-2011, 2013, 2015, 2017-2019",W,W,38-8,5,82.6%
Cincinnati Masters,12,"2004-2011, 2013, 2015-2017",W,QF,22-11,1,66.7%
Indian Wells Masters,14,"2004, 2006-2017, 2019",W,SF,54-10,3,84.4%
Madrid Masters,17,2003-2019,W,SF,52-12,5,81.3%
Miami Masters,13,"2004-2012, 2014-2017",F,F,40-12,0,76.9%
Monte Carlo Masters,16,"2003, 2005-2019",W,SF,71-5,11,93.4%
Paris Masters,7,"2007-2009, 2013, 2015, 2017, 2019",F,SF,19-5,0,79.2%
Rome Masters,16,2005-2020,W,QF,63-7,9,90.0%
Shanghai Masters,8,"2009-2011, 2013-2017",F,F,16-8,0,66.7%
Olympics,2,"2008, 2016",G,SF,10-2,1,83.3%
Basel,4,"2003-2004, 2014-2015",F,F,6-4,0,60.0%
Beijing,7,"2005, 2009, 2013-2017",W,W,25-5,2,83.3%
London,6,"2006-2008, 2010-2011, 2015",W,R32,13-5,1,72.2%
Stuttgart,5,"2003-2005, 2007, 2015",W,W,17-2,3,89.5%
Acapulco,5,"2005, 2013, 2017, 2019-2020",W,W,20-2,3,90.9%
Barcelona,15,"2003, 2005-2009, 2011-2019",W,SF,61-4,11,93.8%
Dubai,4,"2004, 2006-2008",W,QF,10-3,1,76.9%
Rio de Janeiro,3,2014-2016,W,SF,10-2,1,83.3%
Rotterdam,2,2008-2009,F,F,5-2,0,71.4%
Tokyo,2,2010-2011,W,F,9-1,1,90.0%
Adelaide,1,2017,QF,QF,2-1,0,66.7%
Auckland,2,2004-2005,F,R32,4-2,0,66.7%
Bangkok,1,2010,SF,SF,2-1,0,66.7%
Bastad,3,2003-2005,W,W,9-2,1,81.8%
Buenos Aires,3,"2005, 2015-2016",W,SF,8-2,1,80.0%
Doha,8,"2005, 2009-2012, 2014-2016",W,F,23-7,1,76.7%
Estoril,1,2004,QF,QF,2-0,0,100.0%
Halle,3,"2005, 2012, 2014",QF,R16,1-3,0,25.0%
Marseille,1,2006,SF,SF,3-1,0,75.0%
Milan,1,2004,R16,R16,1-1,0,50.0%
Montpellier,2,2003-2004,R32,R32,0-2,0,0.0%
Palermo,1,2004,R16,R16,1-1,0,50.0%
Pune,3,"2004, 2007-2008",F,F,7-3,0,70.0%
Sao Paulo,2,"2005, 2013",W,W,9-0,2,100.0%
Stockholm,1,2006,R16,R16,1-1,0,50.0%
Sydney Outdoor,1,2007,R32,R32,0-1,0,0.0%
Umag,1,2003,SF,SF,3-1,0,75.0%
Valencia,2,"2002, 2005",QF,QF,3-2,0,60.0%
Vina Del Mar,1,2013,F,F,3-1,0,75.0%
Warsaw,1,2004,W,W,5-0,1,100.0%
